Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
A.C. Guards,17.4028042,78.4594873,The Lounge (CCD),17.40772842,78.4427863,Café
A.C. Guards,17.4028042,78.4594873,Firangi Pani,17.41484555,78.4491693,Pub
A.C. Guards,17.4028042,78.4594873,Aromas of China,17.41510048,78.44935867,Chinese Restaurant
A.C. Guards,17.4028042,78.4594873,SkyPark Cafe,17.40790543,78.44242528,Café
A.C. Guards,17.4028042,78.4594873,Bajrang Pan Shop,17.40227863,78.47716496,Smoke Shop
A.C. Guards,17.4028042,78.4594873,Ohri's Ruci & Idoni,17.41493594,78.44755324,Italian Restaurant
A.C. Guards,17.4028042,78.4594873,The Central Court Hotel,17.40420108,78.4649495,Hotel
A.C. Guards,17.4028042,78.4594873,Chung Hua,17.40551386,78.47629989,Chinese Restaurant
A.C. Guards,17.4028042,78.4594873,Sandarshini,17.40533033,78.45165618,Indian Restaurant
A.C. Guards,17.4028042,78.4594873,Silver Salt,17.40968984,78.44966875,Indian Restaurant
A.C. Guards,17.4028042,78.4594873,Kamat Hotel,17.40432999,78.46760189,Indian Restaurant
A.C. Guards,17.4028042,78.4594873,Eatmor,17.40497353,78.47651677,Ice Cream Shop
A.C. Guards,17.4028042,78.4594873,Mohini Restaurant,17.40192622,78.476153,Indian Restaurant
A.C. Guards,17.4028042,78.4594873,Lal Bahadur Shastri Stadium,17.39913964,78.47266639,Stadium
A.C. Guards,17.4028042,78.4594873,Hotel Megacity,17.40113284,78.47599032,Hotel Bar
A.C. Guards,17.4028042,78.4594873,Cafe Coffee Day,17.41627732,78.44806891,Café
A.C. Guards,17.4028042,78.4594873,Cafe Coffee Day,17.40604375,78.46315472,Coffee Shop
A.C. Guards,17.4028042,78.4594873,Lumbini Park,17.40930735,78.47243883,Park
A.C. Guards,17.4028042,78.4594873,Angeethi,17.41445543,78.45054547,Indian Restaurant
A.C. Guards,17.4028042,78.4594873,Angeethi,17.41580132,78.44925998,Indian Restaurant
A.C. Guards,17.4028042,78.4594873,Cafe Coffee Day,17.41625788,78.44805569,Café
A.C. Guards,17.4028042,78.4594873,Prasads imax,17.41314093,78.46563411,Multiplex
A.C. Guards,17.4028042,78.4594873,McDonald's,17.41258967,78.46540644,Fast Food Restaurant
A.C. Guards,17.4028042,78.4594873,McDonald's,17.4149509,78.44960217,Fast Food Restaurant
A.C. Guards,17.4028042,78.4594873,Milan Juice Center,17.39226642,78.45810177,Snack Place
A.C. Guards,17.4028042,78.4594873,Liquids,17.41192001,78.45014258,Pub
A.C. Guards,17.4028042,78.4594873,Ohri's,17.40496052,78.47656026,Restaurant
A.C. Guards,17.4028042,78.4594873,Blue Diamond,17.39927238,78.47474989,Chinese Restaurant
A.C. Guards,17.4028042,78.4594873,NTR Gardens,17.41330265,78.46879786,Garden
A.C. Guards,17.4028042,78.4594873,Taj Deccan,17.41791197,78.45067244,Hotel
A.C. Guards,17.4028042,78.4594873,Bombay Bakery,17.39486898,78.47547473,Bakery
A.C. Guards,17.4028042,78.4594873,Subway,17.4150612,78.44924927,Sandwich Place
A.C. Guards,17.4028042,78.4594873,Taj Banjara,17.41014821,78.4492865,Hotel
A.C. Guards,17.4028042,78.4594873,KFC,17.39487034,78.47590207,Fast Food Restaurant
A.C. Guards,17.4028042,78.4594873,Barista (Prasads Imax),17.41303308,78.46562468,Coffee Shop
A.C. Guards,17.4028042,78.4594873,Al-humdulillah Hotel,17.39072824,78.46299203,Indian Restaurant
A.C. Guards,17.4028042,78.4594873,More Megastore,17.41714725,78.45338318,Department Store
A.C. Guards,17.4028042,78.4594873,Indijoe,17.41518149,78.44897139,Italian Restaurant
A.C. Guards,17.4028042,78.4594873,Prasad's Screen 5,17.41304384,78.46560722,Multiplex
A.C. Guards,17.4028042,78.4594873,McDonald's,17.39662884,78.4428522,Fast Food Restaurant
A.C. Guards,17.4028042,78.4594873,SVM Bowling Alley,17.41569973,78.4492865,Bowling Alley
A.C. Guards,17.4028042,78.4594873,City Center Mall,17.41515611,78.44894332,Shopping Mall
A.C. Guards,17.4028042,78.4594873,Domino's Pizza,17.40611644,78.4515242,Pizza Place
A.C. Guards,17.4028042,78.4594873,Prasads screen 1,17.41296688,78.46565915,Multiplex
A.C. Guards,17.4028042,78.4594873,Woodbridge Hotel,17.40291503,78.46044979,Hotel
A.C. Guards,17.4028042,78.4594873,Auchan,17.40898529,78.45182075,Department Store
A.C. Guards,17.4028042,78.4594873,Just Parantha,17.40812129,78.44748144,Indian Restaurant
A.C. Guards,17.4028042,78.4594873,Hotel Royalton,17.39321134,78.47350446,Hotel
A.C. Guards,17.4028042,78.4594873,Apple iStore,17.40802113,78.45125161,Electronics Store
A.C. Guards,17.4028042,78.4594873,Hyderabad Social,17.4076359,78.44271896,Snack Place
A.C. Guards,17.4028042,78.4594873,Ohri's Gufaa,17.40497709,78.47659198,Restaurant
A.C. Guards,17.4028042,78.4594873,Cafe Coffee Day,17.41306971,78.44904646,Coffee Shop
A.C. Guards,17.4028042,78.4594873,Tewari Bros Mithaiwala,17.41358875,78.45999462,Dessert Shop
A.C. Guards,17.4028042,78.4594873,Venky's Xprs,17.41428531,78.45018723,BBQ Joint
A.C. Guards,17.4028042,78.4594873,A la Liberty,17.40746876,78.44433701,Vegetarian / Vegan Restaurant
A.C. Guards,17.4028042,78.4594873,Heritage Fresh,17.400812,78.453418,Fruit & Vegetable Store
A.C. Guards,17.4028042,78.4594873,SVM Bowling & Gaming,17.41509759,78.44925319,Arcade
A.C. Guards,17.4028042,78.4594873,KFC,17.39640253,78.44277448,Fast Food Restaurant
Abhyudaya Nagar,17.3376608,78.564716,Domino's Pizza,17.342,78.552,Pizza Place
Abhyudaya Nagar,17.3376608,78.564716,Vijayalakshmi Theatre,17.34385785,78.55436108,Movie Theater
Abhyudaya Nagar,17.3376608,78.564716,KFC,17.34592996,78.55237529,Fast Food Restaurant
Abhyudaya Nagar,17.3376608,78.564716,Cafe Coffee Day,17.33091362,78.56764054,Coffee Shop
Abhyudaya Nagar,17.3376608,78.564716,Hotel swagath grand,17.33880431,78.56676093,Hotel
Abhyudaya Nagar,17.3376608,78.564716,Raitu Bazar,17.330757,78.57521,Fruit & Vegetable Store
